Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
tf_csv_data,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4655.0,518.0,490.0,28.0,0.0,94.5945945945946,5.405405405405405,0.0,0.8711671700124356,0.05440057672154175,0.23215575859985793,13.214797540588481,51.18460899497815,449.7135910945078,6036.347022385384,-5586.633431290876,0.8681729557809031,11.653179579894564,-10.78500662411366,385.571080353599,0.7443457149683378,44377.093766528014,0.9483695652173914,349.0,0.06,9.0,0.94,141.0,0.051630434782608696,19.0,0.9748603351955307,0.9483695652173914,0.9614325068870524,0.8720908016117179,0.980498188405797,0.9897620514603486,0.9459459459459459,0.05757638072855464,0.9424236192714454,0.05405405405405406,0.9477530952740449,0.9459459459459459,0.9464455124279172,0.8720908016117179,0.978281783336131,0.9592697328255618,0.9355549631209455,0.9459459459459459,0.104,0.049,0.098711,0.04525,46227.0,7638118.0,865849.0,94.7876447876448,50.19305019305019,?,?
tf_csv_data,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4655.0,518.0,476.0,42.0,0.0,91.89189189189189,8.108108108108109,0.0,0.8146469465648856,0.0810809749911303,0.284747010590986,19.695906431025403,62.779680708714665,449.7135910945078,12857.700414081188,-12407.98682298668,0.8681729557809031,24.821815471199205,-23.953642515418302,353.96680104855886,0.6833335927578357,40739.61643068348,0.8994565217391305,331.0,0.03333333333333333,5.0,0.9666666666666667,145.0,0.10054347826086957,37.0,0.9851190476190477,0.8994565217391305,0.9403409090909091,0.8228939552769626,0.963052536231884,0.983335602852143,0.918918918918919,0.05279573051312182,0.9472042694868782,0.08108108108108109,0.9305585019870733,0.918918918918919,0.9209836890559783,0.8228939552769626,0.9588164484360137,0.9301662241727208,0.9069174424972617,0.918918918918919,0.07,0.024,0.0693,0.020425000000000002,46227.0,7638118.0,865849.0,91.89189189189189,50.0,?,?
tf_csv_data,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4655.0,518.0,466.0,52.0,0.0,89.96138996138995,10.038610038610038,0.0,0.7705152671755725,0.10033053362226088,0.3166647418203955,24.371941785543033,69.81675186661757,449.7135910945078,13443.57789721535,-12993.864306120842,0.8681729557809031,25.952853083427314,-25.084680127646415,331.2119817294986,0.6394053701341671,38120.66287836758,0.8858695652173914,326.0,0.06666666666666667,10.0,0.9333333333333333,140.0,0.11413043478260869,42.0,0.9702380952380952,0.8858695652173914,0.9261363636363638,0.778315512604565,0.9592934782608695,0.9782271504203898,0.8996138996138996,0.08041100106317497,0.9195889989368252,0.10038610038610038,0.9120313406027691,0.8996138996138996,0.9021702816883541,0.778315512604565,0.9539636142353534,0.9198175258397471,0.8847549288061336,0.8996138996138996,0.071,0.024,0.069868,0.019733,46227.0,7638118.0,865849.0,89.96138996138995,50.0,?,?
tf_csv_data,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,485.0,32.0,0.0,93.81044487427467,6.189555125725338,0.0,0.8554351625305836,0.061895551347562215,0.24878816542844917,15.027821292318336,54.82032288888608,449.21929173802397,7024.974959991869,-6575.755668253844,0.8688961155474352,13.58795930365932,-12.719063188111885,376.2634337857068,0.7277822703785432,43309.84400831413,0.9291553133514986,341.0,0.04,6.0,0.96,144.0,0.07084468664850137,26.0,0.9827089337175793,0.9291553133514986,0.9551820728291316,0.8589484327967067,0.9676203451407811,0.9786955139101732,0.9381044487427466,0.048949135391247976,0.951050864608752,0.061895551257253385,0.943352035210374,0.9381044487427466,0.9391718002481457,0.8589484327967067,0.9657888819202518,0.9396822269988169,0.9275910364145658,0.9381044487427466,0.068,0.024,0.06778400000000001,0.019652,46227.0,7639755.0,864212.0,93.81044487427467,50.0,?,?
tf_csv_data,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,481.0,36.0,0.0,93.03675048355899,6.963249516441006,0.0,0.8397947941054952,0.07023253205837102,0.2642300903726298,17.05198382923504,58.22294177957196,449.21929173802397,10838.545453188683,-10389.32616145066,0.8688961155474352,20.96430455162221,-20.095408436074777,366.5556695686279,0.7090051635756826,42192.4307383586,0.9128065395095368,335.0,0.02666666666666667,4.0,0.9733333333333334,146.0,0.08719346049046321,32.0,0.9882005899705014,0.9128065395095368,0.9490084985835695,0.8463911037952182,0.9753405994550409,0.9894697954900846,0.9303675048355899,0.044227631992719826,0.9557723680072802,0.06963249516441006,0.9394648440702952,0.9303675048355899,0.9319588091799297,0.8463911037952183,0.9697645186282209,0.9413363102989238,0.919626200511297,0.9303675048355899,0.066,0.024,0.064372,0.019946000000000002,46227.0,7639755.0,864212.0,93.03675048355899,50.09671179883946,?,?
tf_csv_data,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,487.0,30.0,0.0,94.1972920696325,5.802707930367505,0.0,0.8654906858153815,0.05803131412444679,0.24088809275301087,14.089610626837445,53.079546617766596,449.21929173802397,5956.856094055259,-5507.6368023172345,0.8688961155474352,11.521965365677483,-10.653069250130047,380.82001285557243,0.7365957695465618,43834.32954426399,0.9264305177111717,340.0,0.02,3.0,0.98,147.0,0.07356948228882834,27.0,0.9912536443148688,0.9264305177111717,0.9577464788732395,0.8705455431110065,0.9851044504995459,0.9928794807052214,0.941972920696325,0.03554240298515329,0.9644575970148466,0.058027079303675046,0.9487702618850896,0.941972920696325,0.9431413324131336,0.8705455431110065,0.9792622145860015,0.9526383329987876,0.9325769431403235,0.941972920696325,0.074,0.024,0.069736,0.02013,46227.0,7639755.0,864212.0,94.1972920696325,50.0,?,?
tf_csv_data,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,481.0,36.0,0.0,93.03675048355899,6.963249516441006,0.0,0.8403910470800103,0.06963227615365022,0.26387886833894303,16.906245754859555,58.14555021530989,449.21929173802397,7305.473862303409,-6856.254570565385,0.8688961155474352,14.130510371960172,-13.261614256412736,367.1441149809347,0.710143355862543,42260.16381238602,0.9100817438692098,334.0,0.02,3.0,0.98,147.0,0.08991825613079019,33.0,0.9910979228486647,0.9100817438692098,0.9488636363636362,0.8479248283141628,0.9826975476839237,0.9917577526672977,0.9303675048355899,0.040285760966380126,0.9597142390336199,0.06963249516441006,0.9404892411711024,0.9303675048355899,0.9320489713381395,0.8479248283141628,0.9753743300006852,0.9444482994310084,0.9198863636363637,0.9303675048355899,0.063,0.021,0.061693,0.017883,46227.0,7639755.0,864212.0,93.03675048355899,50.0,?,?
tf_csv_data,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,486.0,31.0,0.0,94.00386847195358,5.996131528046422,0.0,0.8596867531057668,0.06013404364827597,0.2448860493990714,14.600139135304008,53.96049396449977,449.21929173802397,7974.109363288874,-7524.89007155085,0.8688961155474352,15.423809213324708,-14.554913097777272,378.4102979081499,0.7319348122014505,43556.95903970199,0.9318801089918256,342.0,0.04,6.0,0.96,144.0,0.0681198910081744,25.0,0.9827586206896551,0.9318801089918256,0.9566433566433566,0.8628835021992779,0.9713079019073569,0.9831823953759737,0.9400386847195358,0.04815857572771017,0.9518414242722899,0.05996131528046422,0.9448415177575965,0.9400386847195358,0.9410276777181332,0.8628835021992779,0.9694711682890708,0.9467485785090901,0.9297323366288883,0.9400386847195358,0.066,0.022,0.063156,0.017485,46227.0,7639755.0,864212.0,94.00386847195358,50.09671179883946,?,?
tf_csv_data,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,477.0,40.0,0.0,92.26305609284333,7.7369439071566735,0.0,0.8199766700907082,0.07732974052798963,0.27787458683072164,18.775138050074816,61.2294983824582,449.21929173802397,9669.238168989275,-9220.018877251252,0.8688961155474352,18.70258833460208,-17.833692219054647,358.0550239813183,0.6925629090547742,41213.962991301305,0.9155313351498637,336.0,0.06,9.0,0.94,141.0,0.08446866485013624,31.0,0.9739130434782609,0.9155313351498637,0.9438202247191012,0.824025803785435,0.9758219800181653,0.9894492518841097,0.9226305609284333,0.0670992257785695,0.9329007742214304,0.07736943907156674,0.9291899482313183,0.9226305609284333,0.9240783019327647,0.824025803785435,0.969687237029112,0.939891463837167,0.9097983111173146,0.9226305609284333,0.063,0.021,0.061686,0.017715,46227.0,7639755.0,864212.0,92.26305609284333,50.0,?,?
tf_csv_data,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01411291857E7,4656.0,517.0,489.0,28.0,0.0,94.58413926499033,5.415860735009671,0.0,0.8739836690634957,0.05415840516315437,0.23271914920365022,13.149294521970676,51.27952481099851,449.21929173802397,8151.518552299173,-7702.299260561149,0.8688961155474352,15.766960449321418,-14.898064333773982,385.38306690244013,0.7454217928480467,44359.56038315517,0.9318801089918256,342.0,0.02,3.0,0.98,147.0,0.0681198910081744,25.0,0.991304347826087,0.9318801089918256,0.9606741573033708,0.8782994951743222,0.9802633969118982,0.9895292640580272,0.9458413926499033,0.03396128365807768,0.9660387163419222,0.05415860735009672,0.9516564218003453,0.9458413926499033,0.9468548113529353,0.878299495174322,0.9757888292162742,0.9502023349553195,0.9368588177821202,0.9458413926499033,0.065,0.022,0.06217,0.017911,46227.0,7639755.0,864212.0,94.58413926499033,50.0,?,?
